NodeID, Tauxy
530, -9.638355e+00
531, 1.674196e+00
532, 7.134882e+01
533, 2.824138e+01
534, 2.227692e+01
535, 1.825068e+01
536, 1.775992e+01
537, 1.767749e+01
538, 1.775203e+01
539, 1.778995e+01
540, 1.780675e+01
541, 1.781017e+01
542, 1.780959e+01
543, 1.781242e+01
544, 1.783625e+01
545, 1.793851e+01
546, 1.819341e+01
547, 1.870146e+01
548, 1.874315e+01
549, 1.572248e+01
550, 6.568696e+00
551, -6.568696e+00
552, -1.572248e+01
553, -1.874315e+01
554, -1.870146e+01
555, -1.819341e+01
556, -1.793851e+01
557, -1.783625e+01
558, -1.781242e+01
559, -1.780959e+01
560, -1.781017e+01
561, -1.780675e+01
562, -1.778995e+01
563, -1.775203e+01
564, -1.767749e+01
565, -1.775992e+01
566, -1.825068e+01
567, -2.227692e+01
568, -2.824138e+01
569, -7.134882e+01
