NodeID, Uy
300, -3.785302e-02
301, -3.115922e-02
302, -5.096243e-02
303, -4.419659e-02
304, -6.431638e-02
305, -5.747807e-02
306, -7.777703e-02
307, -7.093696e-02
308, -9.122013e-02
309, -8.444233e-02
310, -1.045064e-01
311, -9.786121e-02
312, -1.174962e-01
313, -1.110537e-01
314, -1.300487e-01
315, -1.238793e-01
316, -1.420232e-01
317, -1.361973e-01
318, -1.532791e-01
319, -1.478670e-01
320, -1.636762e-01
321, -1.587479e-01
322, -1.730745e-01
323, -1.687000e-01
324, -1.813340e-01
325, -1.775835e-01
326, -1.883122e-01
327, -1.852584e-01
328, -1.938523e-01
329, -1.915785e-01
330, -1.977638e-01
331, -1.963719e-01
332, -1.998156e-01
333, -1.994198e-01
334, -1.998156e-01
335, -2.004753e-01
336, -1.977638e-01
337, -1.994198e-01
338, -1.938523e-01
339, -1.963719e-01
340, -1.883122e-01
341, -1.915785e-01
342, -1.813340e-01
343, -1.852584e-01
344, -1.730745e-01
345, -1.775835e-01
346, -1.636762e-01
347, -1.687000e-01
348, -1.532791e-01
349, -1.587479e-01
350, -1.420232e-01
351, -1.478670e-01
352, -1.300487e-01
353, -1.361973e-01
354, -1.174962e-01
355, -1.238793e-01
356, -1.045064e-01
357, -1.110537e-01
358, -9.122013e-02
359, -9.786121e-02
360, -7.777703e-02
361, -8.444233e-02
362, -6.431638e-02
363, -7.093696e-02
364, -5.096243e-02
365, -5.747807e-02
366, -3.785302e-02
367, -4.419659e-02
368, -2.499202e-02
369, -3.115922e-02
370, -1.287782e-02
371, -1.858670e-02
372, -6.156716e-03
373, 3.828441e-03
374, -1.463719e-03
375, 4.494953e-03
376, -1.259833e-03
377, -1.147820e-03
378, -2.007490e-01
379, -2.007490e-01
380, -2.010797e-01
381, -2.009570e-01
382, -1.985052e-01
383, -1.998247e-01
384, -1.998411e-01
385, -1.985052e-01
386, -1.998247e-01
387, -1.998411e-01
388, -1.944381e-01
389, -1.965385e-01
390, -1.967004e-01
391, -1.944381e-01
392, -1.965385e-01
393, -1.967004e-01
394, -1.887971e-01
395, -1.916514e-01
396, -1.918428e-01
397, -1.887971e-01
398, -1.916514e-01
399, -1.918428e-01
400, -1.817377e-01
401, -1.852907e-01
402, -1.854802e-01
403, -1.817377e-01
404, -1.852907e-01
405, -1.854802e-01
406, -1.733971e-01
407, -1.775814e-01
408, -1.777652e-01
409, -1.733971e-01
410, -1.775814e-01
411, -1.777652e-01
412, -1.639161e-01
413, -1.686598e-01
