NodeID, Sx
423, -1.072774e+01
424, -4.791355e+01
425, -7.947437e+01
426, -1.635438e+01
427, -4.791355e+01
428, -7.947437e+01
429, -1.635438e+01
430, -4.791696e+01
431, -7.385192e+01
432, -2.198200e+01
433, -4.791696e+01
434, -7.385192e+01
435, -2.198200e+01
436, -4.792281e+01
437, -6.822873e+01
438, -2.760877e+01
439, -4.792281e+01
440, -6.822873e+01
441, -2.760877e+01
442, -4.794221e+01
443, -6.260806e+01
444, -3.323817e+01
445, -4.794221e+01
446, -6.260806e+01
447, -3.323817e+01
448, -4.799898e+01
449, -5.700108e+01
450, -3.888108e+01
451, -4.799898e+01
452, -5.700108e+01
453, -3.888108e+01
454, -4.812038e+01
455, -5.142799e+01
456, -4.455832e+01
457, -4.812038e+01
458, -5.142799e+01
459, -4.455832e+01
460, -4.824058e+01
461, -4.591783e+01
462, -5.030684e+01
463, -4.824058e+01
464, -4.591783e+01
465, -5.030684e+01
466, -4.779984e+01
467, -4.040178e+01
468, -5.601833e+01
469, -4.779984e+01
470, -4.040178e+01
471, -5.601833e+01
472, -4.496212e+01
473, -3.431287e+01
474, -6.141958e+01
475, -4.496212e+01
476, -3.431287e+01
477, -6.141958e+01
478, -3.300919e+01
479, -2.661077e+01
480, -6.339862e+01
481, -3.300919e+01
482, -2.661077e+01
483, -6.339862e+01
484, -1.606963e+01
485, -1.149619e+01
486, -5.610353e+01
487, -1.149619e+01
488, -1.606963e+01
489, -5.610353e+01
490, 3.219970e+00
491, -2.942130e+01
492, 2.471269e+00
493, -5.121058e+00
494, -1.632271e+01
495, -2.698189e+01
496, -3.806804e+01
497, -4.920229e+01
498, -6.042170e+01
499, -7.166346e+01
500, -8.291350e+01
501, -9.416395e+01
502, -1.054133e+02
503, -1.166601e+02
504, -1.279040e+02
505, -1.391477e+02
506, -1.504494e+02
507, -1.619313e+02
508, -1.745561e+02
509, -1.889105e+02
510, -1.816138e+02
511, -1.816138e+02
512, -1.889105e+02
513, -1.745561e+02
514, -1.619313e+02
515, -1.504494e+02
516, -1.391477e+02
517, -1.279040e+02
518, -1.166601e+02
519, -1.054133e+02
520, -9.416395e+01
521, -8.291350e+01
522, -7.166346e+01
523, -6.042170e+01
524, -4.920229e+01
525, -3.806804e+01
526, -2.698189e+01
527, -1.632271e+01
528, -5.121058e+00
529, 2.471269e+00
530, 3.219970e+00
