NodeID, Sy
359, 1.227029e-02
360, -3.990857e-02
361, 7.310884e-03
362, 1.547646e-01
363, 6.347213e-02
364, -4.815043e-01
365, -2.432497e-01
366, 2.637852e+00
367, 1.503025e-01
368, -8.171949e+00
369, -4.621831e+00
370, 3.606447e+01
371, 4.055831e+00
372, -9.448088e+01
373, 6.925550e+01
374, 3.913355e+00
375, 3.196027e+01
376, 1.782134e+01
377, 6.036426e+00
378, -2.234066e+01
379, -2.234066e+01
380, -4.500275e+01
381, -1.756964e+01
382, -8.702666e+00
383, -1.751891e+01
384, -1.053655e+01
385, -8.702666e+00
386, -1.751891e+01
387, -1.053655e+01
388, -3.190450e-01
389, -2.555577e+00
390, -1.441862e+00
391, -3.190450e-01
392, -2.555577e+00
393, -1.441862e+00
394, 6.053576e-01
395, 9.397463e-01
396, 6.930015e-01
397, 6.053576e-01
398, 9.397463e-01
399, 6.930015e-01
400, 4.976839e-01
401, 5.256008e-01
402, 5.185759e-01
403, 4.976839e-01
404, 5.256008e-01
405, 5.185759e-01
406, 1.943467e-01
407, 2.457722e-01
408, 2.491223e-01
409, 1.943467e-01
410, 2.457722e-01
411, 2.491223e-01
412, 5.861468e-02
413, 7.299674e-02
414, 7.273820e-02
415, 5.861468e-02
416, 7.299674e-02
417, 7.273820e-02
418, 1.011577e-02
419, 1.433698e-02
420, 1.493057e-02
421, 1.011577e-02
422, 1.433698e-02
423, 1.493057e-02
424, -8.977402e-04
425, -6.455911e-04
426, -7.135424e-04
427, -8.977402e-04
428, -6.455911e-04
429, -7.135424e-04
430, 5.082588e-04
431, -1.783582e-03
432, -1.769628e-03
433, 5.082588e-04
434, -1.783582e-03
435, -1.769628e-03
436, 9.562332e-03
437, 1.992124e-03
438, 2.047159e-03
439, 9.562332e-03
440, 1.992124e-03
441, 2.047159e-03
442, 3.150779e-02
443, 1.280273e-02
444, 1.253125e-02
445, 3.150779e-02
446, 1.280273e-02
447, 1.253125e-02
448, 6.720308e-02
449, 3.757434e-02
450, 3.871093e-02
451, 6.720308e-02
452, 3.757434e-02
453, 3.871093e-02
454, 6.984629e-02
455, 7.817393e-02
456, 7.476899e-02
457, 6.984629e-02
458, 7.817393e-02
459, 7.476899e-02
460, -2.548632e-01
461, 4.497681e-02
462, 6.586867e-02
463, -2.548632e-01
464, 4.497681e-02
465, 6.586867e-02
466, -1.617864e+00
467, -3.341175e-01
468, -3.558148e-01
469, -1.617864e+00
470, -3.341175e-01
471, -3.558148e-01
472, -6.587473e+00
473, -2.348389e+00
474, -2.163338e+00
475, -6.587473e+00
476, -2.348389e+00
477, -2.163338e+00
478, -1.545268e+01
479, -7.178820e+00
480, -7.910626e+00
481, -1.545268e+01
482, -7.178820e+00
483, -7.910626e+00
484, -2.408995e+01
485, -1.567249e+01
486, -2.433069e+01
487, -1.567249e+01
488, -2.408995e+01
489, -2.433069e+01
490, -9.842003e+00
491, -4.084387e+01
492, -4.709056e+00
493, -6.162842e+00
494, -2.884269e+00
495, -7.061300e-01
496, -1.167174e-01
497, 4.915065e-02
498, 3.366568e-02
499, 1.633910e-02
500, 4.433807e-03
501, 5.930748e-05
502, -7.763219e-04
503, 3.876898e-03
504, 2.869622e-02
505, 9.201973e-02
506, 3.009324e-01
